"timestamp (abs)","sample rate (Hz)","Channel-7","Channel-6","Channel-5","Channel-4","Channel-3","Channel-2","Channel-1","Channel-0"
5869,20000,1,0,0,0,1,0,0,0
5873,20000,1,1,0,0,1,0,0,0
5888,20000,1,1,1,1,1,0,0,0
6023,20000,1,1,0,1,1,0,0,0
6026,20000,1,1,0,0,1,0,0,0
6038,20000,1,0,0,0,1,0,0,0
6040,20000,0,0,0,0,1,0,0,0
6202,20000,1,0,0,0,1,0,0,0
6206,20000,1,1,0,0,1,0,0,0
6221,20000,1,1,1,1,1,0,0,0
6253,20000,1,1,1,1,1,1,1,1
6379,20000,1,1,0,1,1,1,1,1
6386,20000,0,1,0,1,1,1,1,1
6387,20000,0,0,0,1,1,1,1,1
6401,20000,0,0,0,0,1,1,1,1
6519,20000,0,0,0,1,1,1,1,1
6527,20000,1,0,0,1,1,1,1,1
6530,20000,1,1,0,1,1,1,1,1
6533,20000,1,1,1,1,1,1,1,1
6711,20000,1,1,0,1,1,1,1,1
6717,20000,0,1,0,1,1,1,1,1
6719,20000,0,0,0,1,1,1,1,1
6732,20000,0,0,0,0,1,1,1,1
6854,20000,0,0,0,1,1,1,1,1
6860,20000,1,0,0,1,1,1,1,1
6863,20000,1,1,0,1,1,1,1,1
6867,20000,1,1,1,1,1,1,1,1
7044,20000,1,1,0,1,1,1,1,1
7050,20000,0,1,0,1,1,1,1,1
7051,20000,0,0,0,1,1,1,1,1
7063,20000,0,0,0,0,1,1,1,1
7153,20000,0,0,0,0,1,0,0,1
7202,20000,1,0,0,0,1,0,0,1
7206,20000,1,1,0,0,1,0,0,1
7218,20000,1,1,0,1,1,0,0,1
7220,20000,1,1,0,0,1,0,0,0
7223,20000,1,1,1,0,1,0,0,0
7224,20000,1,1,1,1,1,0,0,0
7353,20000,1,1,0,1,1,0,0,0
7355,20000,1,1,0,0,1,0,0,0
7368,20000,1,0,0,0,1,0,0,0
7369,20000,0,0,0,0,1,0,0,0
7534,20000,1,0,0,0,1,0,0,0
7540,20000,1,1,0,0,1,0,0,0
7554,20000,1,1,1,0,1,0,0,0
7555,20000,1,1,1,1,1,0,0,0
7673,20000,1,1,1,1,1,1,1,1
7711,20000,1,1,0,1,1,1,1,1
7719,20000,0,0,0,1,1,1,1,1
7733,20000,0,0,0,0,1,1,1,1
7852,20000,0,0,0,1,1,1,1,1
7859,20000,1,0,0,1,1,1,1,1
7862,20000,1,1,0,1,1,1,1,1
7865,20000,1,1,1,1,1,1,1,1
8044,20000,1,1,0,1,1,1,1,1
8050,20000,0,1,0,1,1,1,1,1
8051,20000,0,0,0,1,1,1,1,1
8063,20000,0,0,0,0,1,1,1,1
8187,20000,0,0,0,1,1,1,1,1
8193,20000,1,0,0,1,1,1,1,1
8196,20000,1,1,0,1,1,1,1,1
8199,20000,1,1,1,1,1,1,1,1
8373,20000,0,0,0,0,1,0,0,1
8400,20000,0,0,0,0,1,0,0,0
8534,20000,1,0,0,0,1,0,0,0
8539,20000,1,1,0,0,1,0,0,0
8554,20000,1,1,1,0,1,0,0,0
8556,20000,1,1,1,1,1,0,0,0
8688,20000,1,1,0,1,1,0,0,0
8689,20000,1,1,0,0,1,0,0,0
8703,20000,1,0,0,0,1,0,0,0
8705,20000,0,0,0,0,1,0,0,0
8866,20000,1,0,0,0,1,0,0,0
8871,20000,1,1,0,0,1,0,0,0
